Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,White,5
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,Total,6
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Total,White,5
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,Total,4
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Female,White,4
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,Total,4
06/30/2014 11:59:00 PM,2014,City Retirement System Office,Total Employees,Total,White,4
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,Total,10
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Female,White,9
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,Total,5
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Male,White,5
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,Total,15
06/30/2014 11:59:00 PM,2014,City Treasurer,Total Employees,Total,White,14
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,Total,10
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Female,White,9
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,Total,31
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Male,White,30
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Black/African-American,2
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,Total,41
06/30/2014 11:59:00 PM,2014,Code Compliance,Total Employees,Total,White,39
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,Total,11
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Female,White,10
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,Total,5
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Male,White,5
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,Total,16
06/30/2014 11:59:00 PM,2014,Community Development,Total Employees,Total,White,15
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Asian,1
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,Total,9
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Female,White,8
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,Total,1
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Male,White,1
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Asian,1
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,Total,10
06/30/2014 11:59:00 PM,2014,Comptroller,Total Employees,Total,White,9
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,Total,2
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Female,White,1
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,Total,1
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Male,White,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Black/African-American,2
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,Total,3
06/30/2014 11:59:00 PM,2014,Diversity & Inclusion,Total Employees,Total,White,1
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,Total,2
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Female,White,2
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,Total,2
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Male,White,2
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,Total,4
06/30/2014 11:59:00 PM,2014,Economic Development,Total Employees,Total,White,4
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,Total,9
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Female,White,8
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,Total,13
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Male,White,13
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,Total,22
06/30/2014 11:59:00 PM,2014,Engineering,Total Employees,Total,White,21
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,Total,15
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Female,White,14
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Asian,1
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Black/African-American,3
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,Total,71
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Male,White,66
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Asian,1
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Black/African-American,4
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,Total,86
06/30/2014 11:59:00 PM,2014,Environmental Services,Total Employees,Total,White,80
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,Total,2
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Female,White,2
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,Total,1
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Male,White,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Hispanic/Latino,1
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,Total,3
06/30/2014 11:59:00 PM,2014,Executive Office,Total Employees,Total,White,2
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Asian,1
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,Total,4
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Female,White,2
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Black/African-American,1
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,Total,37
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Male,White,36
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Asian,1
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Black/African-American,2
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,Total,41
06/30/2014 11:59:00 PM,2014,Facilities and Fleet,Total Employees,Total,White,38
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,Total,15
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Female,White,15
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Black/African-American,6
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Hispanic/Latino,3
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,Total,193
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Male,White,184
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Black/African-American,6
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Hispanic/Latino,3
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,Total,208
06/30/2014 11:59:00 PM,2014,Fire Department,Total Employees,Total,White,199
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Fiscal Services,Total Employees,Female,Total,5
