,Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
81,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Black/African-American,0.0
82,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Hispanic/Latino,0.0
83,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Multiracial,0.0
84,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Native American,0.0
85,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Total,4.0
86,2014-06-30,2014,City Retirement System Office,Total Employees,Female,White,4.0
87,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Asian,0.0
88,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Black/African-American,0.0
89,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Hispanic/Latino,0.0
90,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Multiracial,0.0
91,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Native American,0.0
92,2014-06-30,2014,City Retirement System Office,Total Employees,Total,Total,4.0
93,2014-06-30,2014,City Retirement System Office,Total Employees,Total,White,4.0
94,2014-06-30,2014,City Treasurer,Total Employees,Female,Asian,0.0
95,2014-06-30,2014,City Treasurer,Total Employees,Female,Black/African-American,1.0
96,2014-06-30,2014,City Treasurer,Total Employees,Female,Hispanic/Latino,0.0
97,2014-06-30,2014,City Treasurer,Total Employees,Female,Multiracial,0.0
98,2014-06-30,2014,City Treasurer,Total Employees,Female,Native American,0.0
99,2014-06-30,2014,City Treasurer,Total Employees,Female,Total,10.0
100,2014-06-30,2014,City Treasurer,Total Employees,Female,White,9.0
101,2014-06-30,2014,City Treasurer,Total Employees,Male,Asian,0.0
102,2014-06-30,2014,City Treasurer,Total Employees,Male,Black/African-American,0.0
103,2014-06-30,2014,City Treasurer,Total Employees,Male,Hispanic/Latino,0.0
104,2014-06-30,2014,City Treasurer,Total Employees,Male,Multiracial,0.0
105,2014-06-30,2014,City Treasurer,Total Employees,Male,Native American,0.0
106,2014-06-30,2014,City Treasurer,Total Employees,Male,Total,5.0
107,2014-06-30,2014,City Treasurer,Total Employees,Male,White,5.0
108,2014-06-30,2014,City Treasurer,Total Employees,Total,Asian,0.0
109,2014-06-30,2014,City Treasurer,Total Employees,Total,Black/African-American,1.0
110,2014-06-30,2014,City Treasurer,Total Employees,Total,Hispanic/Latino,0.0
111,2014-06-30,2014,City Treasurer,Total Employees,Total,Multiracial,0.0
112,2014-06-30,2014,City Treasurer,Total Employees,Total,Native American,0.0
113,2014-06-30,2014,City Treasurer,Total Employees,Total,Total,15.0
114,2014-06-30,2014,City Treasurer,Total Employees,Total,White,14.0
115,2014-06-30,2014,Code Compliance,Total Employees,Female,Asian,0.0
116,2014-06-30,2014,Code Compliance,Total Employees,Female,Black/African-American,1.0
117,2014-06-30,2014,Code Compliance,Total Employees,Female,Hispanic/Latino,0.0
118,2014-06-30,2014,Code Compliance,Total Employees,Female,Multiracial,0.0
119,2014-06-30,2014,Code Compliance,Total Employees,Female,Native American,0.0
120,2014-06-30,2014,Code Compliance,Total Employees,Female,Total,10.0
121,2014-06-30,2014,Code Compliance,Total Employees,Female,White,9.0
122,2014-06-30,2014,Code Compliance,Total Employees,Male,Asian,0.0
123,2014-06-30,2014,Code Compliance,Total Employees,Male,Black/African-American,1.0
124,2014-06-30,2014,Code Compliance,Total Employees,Male,Hispanic/Latino,0.0
125,2014-06-30,2014,Code Compliance,Total Employees,Male,Multiracial,0.0
126,2014-06-30,2014,Code Compliance,Total Employees,Male,Native American,0.0
127,2014-06-30,2014,Code Compliance,Total Employees,Male,Total,31.0
128,2014-06-30,2014,Code Compliance,Total Employees,Male,White,30.0
129,2014-06-30,2014,Code Compliance,Total Employees,Total,Asian,0.0
130,2014-06-30,2014,Code Compliance,Total Employees,Total,Black/African-American,2.0
131,2014-06-30,2014,Code Compliance,Total Employees,Total,Hispanic/Latino,0.0
132,2014-06-30,2014,Code Compliance,Total Employees,Total,Multiracial,0.0
133,2014-06-30,2014,Code Compliance,Total Employees,Total,Native American,0.0
134,2014-06-30,2014,Code Compliance,Total Employees,Total,Total,41.0
135,2014-06-30,2014,Code Compliance,Total Employees,Total,White,39.0
136,2014-06-30,2014,Community Development,Total Employees,Female,Asian,0.0
137,2014-06-30,2014,Community Development,Total Employees,Female,Black/African-American,1.0
138,2014-06-30,2014,Community Development,Total Employees,Female,Hispanic/Latino,0.0
139,2014-06-30,2014,Community Development,Total Employees,Female,Multiracial,0.0
140,2014-06-30,2014,Community Development,Total Employees,Female,Native American,0.0
141,2014-06-30,2014,Community Development,Total Employees,Female,Total,11.0
142,2014-06-30,2014,Community Development,Total Employees,Female,White,10.0
143,2014-06-30,2014,Community Development,Total Employees,Male,Asian,0.0
144,2014-06-30,2014,Community Development,Total Employees,Male,Black/African-American,0.0
145,2014-06-30,2014,Community Development,Total Employees,Male,Hispanic/Latino,0.0
146,2014-06-30,2014,Community Development,Total Employees,Male,Multiracial,0.0
147,2014-06-30,2014,Community Development,Total Employees,Male,Native American,0.0
148,2014-06-30,2014,Community Development,Total Employees,Male,Total,5.0
149,2014-06-30,2014,Community Development,Total Employees,Male,White,5.0
150,2014-06-30,2014,Community Development,Total Employees,Total,Asian,0.0
151,2014-06-30,2014,Community Development,Total Employees,Total,Black/African-American,1.0
152,2014-06-30,2014,Community Development,Total Employees,Total,Hispanic/Latino,0.0
153,2014-06-30,2014,Community Development,Total Employees,Total,Multiracial,0.0
154,2014-06-30,2014,Community Development,Total Employees,Total,Native American,0.0
155,2014-06-30,2014,Community Development,Total Employees,Total,Total,16.0
156,2014-06-30,2014,Community Development,Total Employees,Total,White,15.0
157,2014-06-30,2014,Comptroller,Total Employees,Female,Asian,1.0
158,2014-06-30,2014,Comptroller,Total Employees,Female,Black/African-American,0.0
159,2014-06-30,2014,Comptroller,Total Employees,Female,Hispanic/Latino,0.0
160,2014-06-30,2014,Comptroller,Total Employees,Female,Multiracial,0.0
161,2014-06-30,2014,Comptroller,Total Employees,Female,Native American,0.0
162,2014-06-30,2014,Comptroller,Total Employees,Female,Total,9.0
163,2014-06-30,2014,Comptroller,Total Employees,Female,White,8.0
164,2014-06-30,2014,Comptroller,Total Employees,Male,Asian,0.0
165,2014-06-30,2014,Comptroller,Total Employees,Male,Black/African-American,0.0
166,2014-06-30,2014,Comptroller,Total Employees,Male,Hispanic/Latino,0.0
167,2014-06-30,2014,Comptroller,Total Employees,Male,Multiracial,0.0
168,2014-06-30,2014,Comptroller,Total Employees,Male,Native American,0.0
169,2014-06-30,2014,Comptroller,Total Employees,Male,Total,1.0
170,2014-06-30,2014,Comptroller,Total Employees,Male,White,1.0
171,2014-06-30,2014,Comptroller,Total Employees,Total,Asian,1.0
172,2014-06-30,2014,Comptroller,Total Employees,Total,Black/African-American,0.0
173,2014-06-30,2014,Comptroller,Total Employees,Total,Hispanic/Latino,0.0
174,2014-06-30,2014,Comptroller,Total Employees,Total,Multiracial,0.0
175,2014-06-30,2014,Comptroller,Total Employees,Total,Native American,0.0
176,2014-06-30,2014,Comptroller,Total Employees,Total,Total,10.0
177,2014-06-30,2014,Comptroller,Total Employees,Total,White,9.0
178,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Asian,0.0
179,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Black/African-American,1.0
180,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Hispanic/Latino,0.0
181,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Multiracial,0.0
182,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Native American,0.0
183,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,Total,2.0
184,2014-06-30,2014,Diversity & Inclusion,Total Employees,Female,White,1.0
185,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Asian,0.0
186,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Black/African-American,1.0
187,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Hispanic/Latino,0.0
188,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Multiracial,0.0
189,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Native American,0.0
190,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,Total,1.0
191,2014-06-30,2014,Diversity & Inclusion,Total Employees,Male,White,0.0
192,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Asian,0.0
193,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Black/African-American,2.0
194,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Hispanic/Latino,0.0
195,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Multiracial,0.0
196,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Native American,0.0
197,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,Total,3.0
198,2014-06-30,2014,Diversity & Inclusion,Total Employees,Total,White,1.0
199,2014-06-30,2014,Economic Development,Total Employees,Female,Asian,0.0
200,2014-06-30,2014,Economic Development,Total Employees,Female,Black/African-American,0.0
201,2014-06-30,2014,Economic Development,Total Employees,Female,Hispanic/Latino,0.0
202,2014-06-30,2014,Economic Development,Total Employees,Female,Multiracial,0.0
203,2014-06-30,2014,Economic Development,Total Employees,Female,Native American,0.0
204,2014-06-30,2014,Economic Development,Total Employees,Female,Total,2.0
205,2014-06-30,2014,Economic Development,Total Employees,Female,White,2.0
206,2014-06-30,2014,Economic Development,Total Employees,Male,Asian,0.0
207,2014-06-30,2014,Economic Development,Total Employees,Male,Black/African-American,0.0
208,2014-06-30,2014,Economic Development,Total Employees,Male,Hispanic/Latino,0.0
209,2014-06-30,2014,Economic Development,Total Employees,Male,Multiracial,0.0
210,2014-06-30,2014,Economic Development,Total Employees,Male,Native American,0.0
211,2014-06-30,2014,Economic Development,Total Employees,Male,Total,2.0
212,2014-06-30,2014,Economic Development,Total Employees,Male,White,2.0
213,2014-06-30,2014,Economic Development,Total Employees,Total,Asian,0.0
214,2014-06-30,2014,Economic Development,Total Employees,Total,Black/African-American,0.0
215,2014-06-30,2014,Economic Development,Total Employees,Total,Hispanic/Latino,0.0
216,2014-06-30,2014,Economic Development,Total Employees,Total,Multiracial,0.0
217,2014-06-30,2014,Economic Development,Total Employees,Total,Native American,0.0
218,2014-06-30,2014,Economic Development,Total Employees,Total,Total,4.0
219,2014-06-30,2014,Economic Development,Total Employees,Total,White,4.0
220,2014-06-30,2014,Engineering,Total Employees,Female,Asian,0.0
221,2014-06-30,2014,Engineering,Total Employees,Female,Black/African-American,0.0
222,2014-06-30,2014,Engineering,Total Employees,Female,Hispanic/Latino,1.0
223,2014-06-30,2014,Engineering,Total Employees,Female,Multiracial,0.0
224,2014-06-30,2014,Engineering,Total Employees,Female,Native American,0.0
225,2014-06-30,2014,Engineering,Total Employees,Female,Total,9.0
226,2014-06-30,2014,Engineering,Total Employees,Female,White,8.0
227,2014-06-30,2014,Engineering,Total Employees,Male,Asian,0.0
228,2014-06-30,2014,Engineering,Total Employees,Male,Black/African-American,0.0
229,2014-06-30,2014,Engineering,Total Employees,Male,Hispanic/Latino,0.0
230,2014-06-30,2014,Engineering,Total Employees,Male,Multiracial,0.0
231,2014-06-30,2014,Engineering,Total Employees,Male,Native American,0.0
232,2014-06-30,2014,Engineering,Total Employees,Male,Total,13.0
233,2014-06-30,2014,Engineering,Total Employees,Male,White,13.0
234,2014-06-30,2014,Engineering,Total Employees,Total,Asian,0.0
235,2014-06-30,2014,Engineering,Total Employees,Total,Black/African-American,0.0
236,2014-06-30,2014,Engineering,Total Employees,Total,Hispanic/Latino,1.0
237,2014-06-30,2014,Engineering,Total Employees,Total,Multiracial,0.0
238,2014-06-30,2014,Engineering,Total Employees,Total,Native American,0.0
239,2014-06-30,2014,Engineering,Total Employees,Total,Total,22.0
240,2014-06-30,2014,Engineering,Total Employees,Total,White,21.0
241,2014-06-30,2014,Environmental Services,Total Employees,Female,Asian,0.0
242,2014-06-30,2014,Environmental Services,Total Employees,Female,Black/African-American,1.0
243,2014-06-30,2014,Environmental Services,Total Employees,Female,Hispanic/Latino,0.0
244,2014-06-30,2014,Environmental Services,Total Employees,Female,Multiracial,0.0
245,2014-06-30,2014,Environmental Services,Total Employees,Female,Native American,0.0
246,2014-06-30,2014,Environmental Services,Total Employees,Female,Total,15.0
247,2014-06-30,2014,Environmental Services,Total Employees,Female,White,14.0
248,2014-06-30,2014,Environmental Services,Total Employees,Male,Asian,1.0
249,2014-06-30,2014,Environmental Services,Total Employees,Male,Black/African-American,3.0
250,2014-06-30,2014,Environmental Services,Total Employees,Male,Hispanic/Latino,1.0
251,2014-06-30,2014,Environmental Services,Total Employees,Male,Multiracial,0.0
252,2014-06-30,2014,Environmental Services,Total Employees,Male,Native American,0.0
253,2014-06-30,2014,Environmental Services,Total Employees,Male,Total,71.0
254,2014-06-30,2014,Environmental Services,Total Employees,Male,White,66.0
255,2014-06-30,2014,Environmental Services,Total Employees,Total,Asian,1.0
256,2014-06-30,2014,Environmental Services,Total Employees,Total,Black/African-American,4.0
257,2014-06-30,2014,Environmental Services,Total Employees,Total,Hispanic/Latino,1.0
258,2014-06-30,2014,Environmental Services,Total Employees,Total,Multiracial,0.0
259,2014-06-30,2014,Environmental Services,Total Employees,Total,Native American,0.0
260,2014-06-30,2014,Environmental Services,Total Employees,Total,Total,86.0
261,2014-06-30,2014,Environmental Services,Total Employees,Total,White,80.0
262,2014-06-30,2014,Executive Office,Total Employees,Female,Asian,0.0
263,2014-06-30,2014,Executive Office,Total Employees,Female,Black/African-American,0.0
264,2014-06-30,2014,Executive Office,Total Employees,Female,Hispanic/Latino,0.0
265,2014-06-30,2014,Executive Office,Total Employees,Female,Multiracial,0.0
266,2014-06-30,2014,Executive Office,Total Employees,Female,Native American,0.0
267,2014-06-30,2014,Executive Office,Total Employees,Female,Total,2.0
268,2014-06-30,2014,Executive Office,Total Employees,Female,White,2.0
269,2014-06-30,2014,Executive Office,Total Employees,Male,Asian,0.0
270,2014-06-30,2014,Executive Office,Total Employees,Male,Black/African-American,0.0
271,2014-06-30,2014,Executive Office,Total Employees,Male,Hispanic/Latino,1.0
272,2014-06-30,2014,Executive Office,Total Employees,Male,Multiracial,0.0
273,2014-06-30,2014,Executive Office,Total Employees,Male,Native American,0.0
274,2014-06-30,2014,Executive Office,Total Employees,Male,Total,1.0
275,2014-06-30,2014,Executive Office,Total Employees,Male,White,0.0
276,2014-06-30,2014,Executive Office,Total Employees,Total,Asian,0.0
277,2014-06-30,2014,Executive Office,Total Employees,Total,Black/African-American,0.0
278,2014-06-30,2014,Executive Office,Total Employees,Total,Hispanic/Latino,1.0
279,2014-06-30,2014,Executive Office,Total Employees,Total,Multiracial,0.0
280,2014-06-30,2014,Executive Office,Total Employees,Total,Native American,0.0
281,2014-06-30,2014,Executive Office,Total Employees,Total,Total,3.0
282,2014-06-30,2014,Executive Office,Total Employees,Total,White,2.0
283,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Asian,1.0
284,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Black/African-American,1.0
285,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Hispanic/Latino,0.0
286,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Multiracial,0.0
287,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Native American,0.0
288,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,Total,4.0
289,2014-06-30,2014,Facilities and Fleet,Total Employees,Female,White,2.0
290,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Asian,0.0
291,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Black/African-American,1.0
292,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Hispanic/Latino,0.0
293,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Multiracial,0.0
294,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Native American,0.0
295,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,Total,37.0
296,2014-06-30,2014,Facilities and Fleet,Total Employees,Male,White,36.0
297,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Asian,1.0
298,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Black/African-American,2.0
299,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Hispanic/Latino,0.0
300,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Multiracial,0.0
301,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Native American,0.0
302,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,Total,41.0
303,2014-06-30,2014,Facilities and Fleet,Total Employees,Total,White,38.0
304,2014-06-30,2014,Fire Department,Total Employees,Female,Asian,0.0
305,2014-06-30,2014,Fire Department,Total Employees,Female,Black/African-American,0.0
306,2014-06-30,2014,Fire Department,Total Employees,Female,Hispanic/Latino,0.0
307,2014-06-30,2014,Fire Department,Total Employees,Female,Multiracial,0.0
308,2014-06-30,2014,Fire Department,Total Employees,Female,Native American,0.0
309,2014-06-30,2014,Fire Department,Total Employees,Female,Total,15.0
310,2014-06-30,2014,Fire Department,Total Employees,Female,White,15.0
311,2014-06-30,2014,Fire Department,Total Employees,Male,Asian,0.0
312,2014-06-30,2014,Fire Department,Total Employees,Male,Black/African-American,6.0
313,2014-06-30,2014,Fire Department,Total Employees,Male,Hispanic/Latino,3.0
314,2014-06-30,2014,Fire Department,Total Employees,Male,Multiracial,0.0
315,2014-06-30,2014,Fire Department,Total Employees,Male,Native American,0.0
316,2014-06-30,2014,Fire Department,Total Employees,Male,Total,193.0
317,2014-06-30,2014,Fire Department,Total Employees,Male,White,184.0
318,2014-06-30,2014,Fire Department,Total Employees,Total,Asian,0.0
319,2014-06-30,2014,Fire Department,Total Employees,Total,Black/African-American,6.0
320,2014-06-30,2014,Fire Department,Total Employees,Total,Hispanic/Latino,3.0
321,2014-06-30,2014,Fire Department,Total Employees,Total,Multiracial,0.0
322,2014-06-30,2014,Fire Department,Total Employees,Total,Native American,0.0
323,2014-06-30,2014,Fire Department,Total Employees,Total,Total,208.0
324,2014-06-30,2014,Fire Department,Total Employees,Total,White,199.0
325,2014-06-30,2014,Fiscal Services,Total Employees,Female,Asian,0.0
326,2014-06-30,2014,Fiscal Services,Total Employees,Female,Black/African-American,0.0
327,2014-06-30,2014,Fiscal Services,Total Employees,Female,Hispanic/Latino,0.0
328,2014-06-30,2014,Fiscal Services,Total Employees,Female,Multiracial,0.0
329,2014-06-30,2014,Fiscal Services,Total Employees,Female,Native American,0.0
330,2014-06-30,2014,Fiscal Services,Total Employees,Female,Total,5.0
331,2014-06-30,2014,Fiscal Services,Total Employees,Female,White,5.0
332,2014-06-30,2014,Fiscal Services,Total Employees,Male,Asian,1.0
333,2014-06-30,2014,Fiscal Services,Total Employees,Male,Black/African-American,0.0
334,2014-06-30,2014,Fiscal Services,Total Employees,Male,Hispanic/Latino,0.0
335,2014-06-30,2014,Fiscal Services,Total Employees,Male,Multiracial,0.0
336,2014-06-30,2014,Fiscal Services,Total Employees,Male,Native American,0.0
337,2014-06-30,2014,Fiscal Services,Total Employees,Male,Total,5.0
338,2014-06-30,2014,Fiscal Services,Total Employees,Male,White,4.0
339,2014-06-30,2014,Fiscal Services,Total Employees,Total,Asian,1.0
340,2014-06-30,2014,Fiscal Services,Total Employees,Total,Black/African-American,0.0
341,2014-06-30,2014,Fiscal Services,Total Employees,Total,Hispanic/Latino,0.0
342,2014-06-30,2014,Fiscal Services,Total Employees,Total,Multiracial,0.0
343,2014-06-30,2014,Fiscal Services,Total Employees,Total,Native American,0.0
344,2014-06-30,2014,Fiscal Services,Total Employees,Total,Total,10.0
345,2014-06-30,2014,Fiscal Services,Total Employees,Total,White,9.0
346,2014-06-30,2014,Human Resources,Total Employees,Female,Asian,1.0
347,2014-06-30,2014,Human Resources,Total Employees,Female,Black/African-American,3.0
348,2014-06-30,2014,Human Resources,Total Employees,Female,Hispanic/Latino,0.0
349,2014-06-30,2014,Human Resources,Total Employees,Female,Multiracial,0.0
350,2014-06-30,2014,Human Resources,Total Employees,Female,Native American,0.0
351,2014-06-30,2014,Human Resources,Total Employees,Female,Total,8.0
352,2014-06-30,2014,Human Resources,Total Employees,Female,White,4.0
353,2014-06-30,2014,Human Resources,Total Employees,Male,Asian,1.0
354,2014-06-30,2014,Human Resources,Total Employees,Male,Black/African-American,0.0
355,2014-06-30,2014,Human Resources,Total Employees,Male,Hispanic/Latino,0.0
356,2014-06-30,2014,Human Resources,Total Employees,Male,Multiracial,0.0
357,2014-06-30,2014,Human Resources,Total Employees,Male,Native American,0.0
358,2014-06-30,2014,Human Resources,Total Employees,Male,Total,6.0
359,2014-06-30,2014,Human Resources,Total Employees,Male,White,5.0
360,2014-06-30,2014,Human Resources,Total Employees,Total,Asian,2.0
361,2014-06-30,2014,Human Resources,Total Employees,Total,Black/African-American,3.0
362,2014-06-30,2014,Human Resources,Total Employees,Total,Hispanic/Latino,0.0
363,2014-06-30,2014,Human Resources,Total Employees,Total,Multiracial,0.0
364,2014-06-30,2014,Human Resources,Total Employees,Total,Native American,0.0
365,2014-06-30,2014,Human Resources,Total Employees,Total,Total,14.0
366,2014-06-30,2014,Human Resources,Total Employees,Total,White,9.0
367,2014-06-30,2014,Income Tax,Total Employees,Female,Asian,0.0
368,2014-06-30,2014,Income Tax,Total Employees,Female,Black/African-American,1.0
369,2014-06-30,2014,Income Tax,Total Employees,Female,Hispanic/Latino,0.0
370,2014-06-30,2014,Income Tax,Total Employees,Female,Multiracial,0.0
371,2014-06-30,2014,Income Tax,Total Employees,Female,Native American,0.0
372,2014-06-30,2014,Income Tax,Total Employees,Female,Total,9.0
373,2014-06-30,2014,Income Tax,Total Employees,Female,White,8.0
374,2014-06-30,2014,Income Tax,Total Employees,Male,Asian,0.0
375,2014-06-30,2014,Income Tax,Total Employees,Male,Black/African-American,0.0
