species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Gentoo,45.2,14.8,212.0,5200.0
Adelie,42.2,19.5,197.0,4275.0
Adelie,40.7,17.0,190.0,3725.0
Gentoo,47.5,14.0,212.0,4875.0
Chinstrap,50.5,18.4,200.0,3400.0
Adelie,39.0,17.5,186.0,3550.0
Gentoo,46.5,14.8,217.0,5200.0
Adelie,38.8,20.0,190.0,3950.0
Adelie,32.1,15.5,188.0,3050.0
Adelie,36.0,17.8,195.0,3450.0
Chinstrap,45.7,17.0,195.0,3650.0
Adelie,40.3,18.0,195.0,3250.0
Adelie,40.8,18.4,195.0,3900.0
Gentoo,46.5,14.5,213.0,4400.0
Adelie,39.6,17.7,186.0,3500.0
Adelie,37.2,19.4,184.0,3900.0
Gentoo,44.4,17.3,219.0,5250.0
Gentoo,49.1,14.5,212.0,4625.0
Gentoo,46.4,15.0,216.0,4700.0
Gentoo,45.5,13.7,214.0,4650.0
Chinstrap,45.5,17.0,196.0,3500.0
Gentoo,50.5,15.2,216.0,5000.0
Gentoo,42.7,13.7,208.0,3950.0
Chinstrap,51.3,19.2,193.0,3650.0
Adelie,42.0,19.5,200.0,4050.0
Chinstrap,46.5,17.9,192.0,3500.0
Adelie,34.6,17.2,189.0,3200.0
Gentoo,52.5,15.6,221.0,5450.0
Adelie,41.3,21.1,195.0,4400.0
Chinstrap,46.4,18.6,190.0,3450.0
Chinstrap,51.5,18.7,187.0,3250.0
Gentoo,43.5,14.2,220.0,4700.0
Adelie,42.3,21.2,191.0,4150.0
Chinstrap,45.2,17.8,198.0,3950.0
Adelie,33.5,19.0,190.0,3600.0
Gentoo,55.9,17.0,228.0,5600.0
Chinstrap,55.8,19.8,207.0,4000.0
Gentoo,45.5,13.9,210.0,4200.0
Adelie,38.9,17.8,181.0,3625.0
Gentoo,50.0,16.3,230.0,5700.0
Adelie,40.9,16.8,191.0,3700.0
Adelie,41.5,18.5,201.0,4000.0
Adelie,41.3,20.3,194.0,3550.0
Gentoo,41.7,14.7,210.0,4700.0
Adelie,40.5,17.9,187.0,3200.0
Adelie,37.2,18.1,178.0,3900.0
Adelie,41.1,17.5,190.0,3900.0
Chinstrap,45.6,19.4,194.0,3525.0
Adelie,42.8,18.5,195.0,4250.0
Chinstrap,42.5,17.3,187.0,3350.0
Adelie,44.1,19.7,196.0,4400.0
Gentoo,50.8,17.3,228.0,5600.0
Chinstrap,50.8,19.0,210.0,4100.0
Gentoo,46.2,14.5,209.0,4800.0
Gentoo,47.5,14.2,209.0,4600.0
Chinstrap,46.1,18.2,178.0,3250.0
Gentoo,48.2,14.3,210.0,4600.0
Adelie,39.6,18.8,190.0,4600.0
Adelie,36.8,18.5,193.0,3500.0
Adelie,40.6,18.8,193.0,3800.0
